SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Churn_Yes
0,1,29.85,False,False,False,False,False,False,False,False
0,34,56.95,True,False,True,False,False,True,False,False
0,2,53.85,True,False,True,False,False,False,False,True
0,45,42.3,True,False,False,False,False,True,False,False
0,2,70.7,False,False,True,False,True,False,False,True
0,8,99.65,False,False,True,True,True,False,False,True
0,22,89.1,True,True,True,True,True,False,False,False
0,10,29.75,False,False,False,False,False,False,False,False
0,28,104.8,False,False,True,True,True,False,False,True
0,62,56.15,True,True,True,False,False,True,False,False
0,13,49.95,True,True,True,False,False,False,False,False
0,16,18.95,True,False,True,False,False,False,True,False
0,58,100.35,True,False,True,True,True,True,False,False
0,49,103.7,True,False,True,True,True,False,False,True
0,25,105.5,True,False,True,False,True,False,False,False
0,69,113.25,False,True,True,True,True,False,True,False
0,52,20.65,False,False,True,False,False,True,False,False
0,71,106.7,True,True,True,True,True,False,True,False
0,10,55.2,False,True,True,False,False,False,False,True
0,21,90.05,False,False,True,False,True,False,False,False
1,1,39.65,True,False,False,False,False,False,False,True
0,12,19.8,True,False,True,False,False,True,False,False
0,1,20.15,True,False,True,False,False,False,False,True
0,58,59.9,False,False,True,True,False,False,True,False
0,49,59.6,True,True,True,False,False,False,False,False
0,30,55.3,False,False,True,False,False,False,False,False
0,47,99.35,True,True,True,True,True,False,False,True
0,1,30.2,True,True,False,False,False,False,False,True
0,72,90.25,True,False,True,True,False,False,True,False
0,17,64.7,False,True,True,False,False,False,False,True
1,71,96.35,False,False,True,True,True,False,True,False
1,2,95.5,True,False,True,False,True,False,False,False
0,27,66.15,False,True,True,False,False,True,False,False
0,1,20.2,True,False,True,False,False,False,False,False
1,1,45.25,True,False,True,False,False,False,False,False
0,72,99.9,False,True,True,True,True,False,True,False
0,5,69.7,True,False,True,False,True,False,False,True
0,46,74.8,False,False,True,False,True,False,False,False
0,34,106.35,True,False,True,True,True,False,False,True
0,11,97.85,False,False,True,True,True,False,False,True
0,10,49.55,True,True,True,False,False,True,False,False
0,70,69.2,False,True,True,True,False,False,True,False
0,17,20.75,False,True,True,False,False,True,False,False
0,63,79.85,False,False,True,True,False,False,True,False
0,13,76.2,False,False,True,True,False,False,False,False
0,49,84.5,False,False,True,True,True,False,False,False
0,2,49.25,True,False,True,False,False,False,False,False
0,2,80.65,False,False,True,False,True,False,False,True
0,52,79.75,True,False,True,True,False,False,True,False
0,69,64.15,False,True,True,True,False,False,True,False
1,43,90.25,False,False,True,True,True,False,False,False
0,15,99.1,False,False,True,False,True,False,False,True
1,25,69.5,False,False,True,True,False,False,False,False
1,8,80.65,False,False,True,True,True,False,False,True
1,60,74.85,False,True,True,False,False,True,False,False
1,18,95.45,True,False,True,True,True,False,False,True
0,63,99.65,False,True,True,True,True,True,False,False
1,66,108.45,True,True,True,True,True,True,False,False
0,34,24.95,False,True,True,True,False,False,True,False
0,72,107.5,False,False,True,True,True,False,True,False
0,47,100.5,False,False,True,True,True,False,False,False
0,60,89.9,True,False,True,True,True,False,False,False
0,72,42.1,True,False,False,False,False,False,True,False
0,18,54.4,False,True,True,False,False,True,False,False
0,9,94.4,False,False,True,True,True,False,False,True
0,3,75.3,False,False,True,False,False,False,False,False
0,47,78.9,True,False,True,True,True,True,False,False
0,31,79.2,False,False,True,False,False,False,True,False
0,50,20.15,False,True,True,False,False,False,True,False
0,10,79.85,True,False,True,False,True,False,False,False
0,1,49.05,True,False,True,False,False,False,False,False
0,52,20.4,False,True,True,False,False,True,False,False
1,64,111.6,True,True,True,True,True,False,True,False
0,62,24.25,True,True,True,True,False,False,True,False
0,3,64.5,False,True,True,False,False,False,False,False
1,56,110.5,False,False,True,True,True,True,False,False
0,46,55.65,False,False,True,False,False,True,False,False
0,8,54.65,False,True,True,False,False,False,False,False
1,30,74.75,True,False,True,False,False,False,False,False
0,45,25.9,False,True,True,True,False,True,False,False
0,1,79.35,False,True,True,False,True,False,False,True
0,11,50.55,False,True,False,False,False,False,False,False
0,7,75.15,False,False,True,False,True,False,False,True
0,42,103.8,False,False,True,False,True,False,False,False
0,49,20.15,False,False,True,False,False,False,True,False
0,9,99.3,True,False,True,True,True,False,False,False
0,35,62.15,False,False,True,False,False,True,False,False
0,48,20.65,False,True,True,False,False,False,True,False
0,46,19.95,False,True,True,False,False,False,True,False
0,29,33.75,True,False,False,False,False,False,False,False
0,30,82.05,True,True,True,False,True,False,False,False
1,1,74.7,True,False,True,False,True,False,False,False
0,66,84.0,True,True,True,True,False,False,True,False
0,65,111.05,False,False,True,True,True,False,False,False
0,72,100.9,True,False,True,True,True,False,True,False
0,12,78.95,False,False,True,True,True,False,False,True
0,71,66.85,True,True,True,True,False,True,False,False
0,5,21.05,True,False,True,False,False,False,False,True
0,52,21.0,True,False,True,False,False,False,True,False
1,25,98.5,False,False,True,False,True,False,False,True
0,1,19.45,False,True,True,False,False,False,False,False
0,38,95.0,True,False,True,True,True,True,False,False
1,66,45.55,False,False,False,False,False,True,False,False
0,68,110.0,True,False,True,True,True,False,True,True
0,5,24.3,True,False,False,False,False,False,False,False
0,72,104.15,False,True,True,True,True,True,False,False
0,32,30.15,False,False,False,False,False,True,False,False
0,43,94.35,True,False,True,True,True,True,False,False
0,72,19.4,True,True,True,False,False,False,True,False
0,55,96.75,True,False,True,True,True,False,False,True
0,52,57.95,False,False,True,False,False,True,False,False
0,43,91.65,False,False,True,False,True,False,False,False
1,37,76.5,False,False,True,True,True,False,False,True
0,64,54.6,False,True,False,False,False,False,True,False
0,3,89.85,True,True,True,False,True,False,False,False
0,36,31.05,False,False,False,False,False,False,True,False
0,10,100.25,False,True,True,True,True,False,False,True
0,41,20.65,False,False,True,False,False,False,True,False
0,27,85.2,True,True,True,True,True,False,False,False
0,56,99.8,False,True,True,True,True,True,False,False
0,6,20.7,False,False,True,False,False,False,False,False
0,3,74.4,True,False,True,True,True,False,False,True
0,7,50.7,False,True,True,False,False,False,False,False
0,4,20.85,False,True,True,False,False,False,False,False
0,33,88.95,True,False,True,False,True,False,True,False
1,27,78.05,False,False,True,True,True,False,False,True
0,72,23.55,True,False,True,True,False,False,True,False
0,1,19.75,True,False,True,False,False,False,False,False
1,71,56.45,True,False,False,False,False,True,False,False
0,13,85.95,False,False,True,True,True,False,False,False
0,25,58.6,False,True,False,False,False,False,False,True
0,67,50.55,True,False,True,False,False,False,True,False
0,1,35.45,True,False,False,False,False,False,False,True
0,2,44.35,True,False,True,False,False,False,False,True
0,43,25.7,False,False,True,True,False,False,True,False
0,23,75.0,False,False,True,False,True,False,False,False
0,64,20.2,False,True,True,False,False,False,True,False
0,57,19.6,True,True,True,False,False,False,True,False
1,1,70.45,False,False,True,False,True,False,False,True
1,72,88.05,False,True,True,True,False,False,True,False
0,8,71.15,False,False,True,True,False,False,False,True
0,61,101.05,False,False,True,True,True,False,True,False
0,64,84.3,True,False,True,True,True,True,False,False
1,71,23.95,True,False,True,True,False,False,True,False
0,65,99.05,False,True,True,True,True,False,True,False
0,3,19.6,True,False,True,False,False,True,False,False
0,1,45.65,True,False,True,False,False,False,False,True
0,30,64.5,True,True,True,False,False,True,False,False
0,15,69.5,True,True,True,False,False,False,False,False
0,8,68.55,False,True,True,False,False,False,False,False
0,7,95.0,True,False,True,True,True,False,False,True
0,70,108.15,False,True,True,True,True,True,False,False
0,62,86.1,True,True,True,False,False,False,True,False
0,6,19.7,False,True,True,False,False,False,False,False
0,14,80.9,False,True,True,False,True,False,False,False
0,22,84.15,False,False,True,True,True,False,False,False
0,22,20.15,True,True,True,False,False,True,False,False
0,16,64.25,True,True,True,False,False,False,True,False
0,10,25.7,True,False,True,True,False,False,True,False
0,13,56.0,False,True,True,False,False,False,False,False
0,20,82.4,False,False,True,True,True,False,False,True
0,2,69.7,False,False,True,False,True,False,False,False
0,53,73.9,True,False,True,True,False,False,True,False
0,11,20.6,False,True,True,False,False,True,False,False
0,69,19.9,True,False,True,False,False,False,True,False
0,4,70.9,False,False,True,False,True,False,False,True
0,72,89.05,True,False,True,True,False,False,True,False
1,58,45.3,True,False,False,False,False,False,False,True
0,16,20.4,False,True,True,False,False,False,False,False
0,43,84.25,True,False,True,False,True,True,False,False
0,2,104.4,False,False,True,True,True,False,False,True
0,14,81.95,True,False,True,False,False,False,True,False
0,53,94.85,False,False,True,False,True,True,False,True
0,32,20.55,False,False,True,False,False,True,False,False
0,34,24.7,False,False,True,True,False,False,False,False
1,15,74.45,False,False,True,True,True,False,False,True
1,7,76.45,False,False,True,False,True,False,False,True
0,15,105.35,False,True,True,True,True,False,False,False
0,61,20.55,True,False,True,False,False,True,False,False
0,1,29.95,False,False,False,False,False,False,False,True
0,1,45.3,False,False,True,False,False,False,False,False
0,8,84.5,True,False,True,True,True,False,False,True
0,33,74.75,True,True,True,False,False,True,False,False
0,13,79.25,False,False,True,False,True,False,False,True
0,1,24.8,False,False,False,False,False,False,False,True
0,20,51.8,True,False,True,False,False,False,False,False
0,3,30.4,True,False,False,False,False,False,False,False
0,13,19.65,False,False,True,False,False,True,False,False
0,40,56.6,False,False,True,True,False,False,False,False
0,43,71.9,True,True,True,True,False,True,False,False
0,6,91.0,True,False,True,False,True,False,False,True
0,69,19.75,False,True,True,False,False,False,True,False
0,72,109.7,False,True,True,True,True,False,True,False
0,59,19.3,True,True,True,False,False,False,True,False
0,20,96.55,False,False,True,False,True,False,False,False
0,24,24.1,True,True,True,True,False,False,True,False
0,59,111.35,True,False,True,True,True,False,False,False
0,72,112.25,True,True,True,True,True,False,True,False
